#;artist;song;total;trackId
230;Daryl Hall John Oates;Maneater;4;https://open.spotify.com/track/1qjrYozGqc7upUgfN776lZ
231;Dawn Featuring Tony Orlando;Tie A Yellow Ribbon Round The Ole Oak Tree;4;https://open.spotify.com/track/12UzVR0M7asW2MHAZRJk0I
232;Del Shannon;Runaway;4;https://open.spotify.com/track/7qVUFZilySegJEvKTERweo
233;Diana Ross;Upside Down;4;https://open.spotify.com/track/3HnhrVBybVBzp9yEQcAzfC
234;Dionne & Friends Featuring Elton John, Gladys Knight And Stevie Wonder;That's What Friends Are For;4;https://open.spotify.com/track/1OzrlK57iLTIjmbZC1ppWM
235;Don McLean;American Pie (Parts I & II);4;https://open.spotify.com/track/1fDsrQ23eTAVFElUMaf38X
236;Elton John & Kiki Dee;Don't Go Breaking My Heart;4;https://open.spotify.com/track/7HW5WIw7ZgZORCzUxv5gW5
237;Elvis Presley With The Jordanaires;Stuck On You;4;https://open.spotify.com/track/7bA1DHtoJAvqyL42gHwOLa
238;Eminem Featuring Rihanna;The Monster;4;https://open.spotify.com/track/00bLSnliElWSOs1Ybt9dZm
239;Exile;Kiss You All Over;4;https://open.spotify.com/track/6WSsI73AMcyxnbo6GgCpub
240;George Harrison;My Sweet Lord/Isn't It A Pity;4;https://open.spotify.com/track/0KZodeWxqxd88F9wY1cqgs
241;George Michael;Faith;4;https://open.spotify.com/track/0g676rSOGgNJqMSXr4Ezoi
242;Gwen Stefani;Hollaback Girl;4;https://open.spotify.com/track/2N2QSfTqdJafXa8uPt4rTY
243;Herb Alpert;This Guy's In Love With You;4;https://open.spotify.com/track/5hffP5gJFe1zByXf7BIeYq
244;Janet Jackson;Miss You Much;4;https://open.spotify.com/track/69ll2dkaMkJYpiyZRpw2Yk
245;Jennifer Lopez Featuring LL Cool J;All I Have;4;https://open.spotify.com/track/3kgutGd839IOYRl6ekeq6V
246;Joe Featuring Mystikal;Stutter;4;https://open.spotify.com/track/7qVUFZilySegJEvKTERweo
